Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,64.330299,64.366699,64.120003,64.328201,64.328201,0
2019-06-18,64.297501,64.370003,63.910000,64.298698,64.298698,0
2019-06-19,63.962299,64.072701,63.803001,63.957699,63.957699,0
2019-06-20,63.733101,63.740299,62.913799,63.731998,63.731998,0
2019-06-21,62.865398,63.540001,62.862999,62.867199,62.867199,0
2019-06-24,63.061199,63.131302,62.701401,63.056999,63.056999,0
2019-06-25,62.529800,62.880001,62.468601,62.529900,62.529900,0
2019-06-26,62.861801,63.210999,62.665001,62.866100,62.866100,0
2019-06-27,62.996601,63.245701,62.918301,63.005600,63.005600,0
2019-06-28,63.055801,63.132999,62.848801,63.057400,63.057400,0
2019-07-01,62.955898,63.200001,62.780899,62.958302,62.958302,0
2019-07-02,62.896000,63.363998,62.894001,62.908401,62.908401,0
2019-07-03,63.271198,63.643700,63.270401,63.270699,63.270699,0
2019-07-04,63.276501,63.506001,63.226601,63.280899,63.280899,0
2019-07-05,63.444099,63.840000,63.405998,63.431702,63.431702,0
2019-07-08,63.722099,63.955002,63.484600,63.727001,63.727001,0
2019-07-09,63.661201,63.883999,63.626999,63.654099,63.654099,0
2019-07-10,63.813099,63.868999,63.114601,63.813202,63.813202,0
2019-07-11,63.116001,63.128201,62.779701,63.116001,63.116001,0
2019-07-12,62.794498,63.179001,62.791100,62.795700,62.795700,0
2019-07-15,63.110500,63.131100,62.542599,63.110199,63.110199,0
2019-07-16,62.641701,62.862000,62.556301,62.646400,62.646400,0
2019-07-17,62.964199,63.019600,62.731998,62.963799,62.963799,0
2019-07-18,62.898399,63.117100,62.715000,62.902199,62.902199,0
2019-07-19,62.860100,63.042999,62.699001,62.854099,62.854099,0
2019-07-22,62.972401,63.054001,62.912998,62.976200,62.976200,0
2019-07-23,62.990700,63.310001,62.985199,63.001099,63.001099,0
2019-07-24,63.165100,63.193699,62.982498,63.165100,63.165100,0
2019-07-25,63.245201,63.278000,62.867001,63.245098,63.245098,0
2019-07-26,63.128101,63.455002,63.056999,63.151299,63.151299,0
2019-07-29,63.152599,63.604000,63.150902,63.176601,63.176601,0
2019-07-30,63.415501,63.691101,63.216301,63.414200,63.414200,0
2019-07-31,63.490799,63.533001,63.341000,63.490799,63.490799,0
2019-08-01,63.521599,64.133003,63.448299,63.564602,63.564602,0
2019-08-02,64.305099,65.384003,64.281898,64.299896,64.299896,0
2019-08-05,65.224098,65.483398,64.829300,65.226501,65.226501,0
2019-08-06,65.707100,66.091904,64.970802,65.719902,65.719902,0
2019-08-07,65.243599,65.679001,64.939003,65.254303,65.254303,0
2019-08-08,65.349197,65.417000,65.035004,65.329201,65.329201,0
2019-08-09,65.079201,65.504997,65.021896,65.077202,65.077202,0
2019-08-12,65.306000,65.663002,65.218597,65.278801,65.278801,0
2019-08-13,65.410599,65.852997,64.928001,65.412598,65.412598,0
2019-08-14,64.876801,66.037003,64.874802,64.880501,64.880501,0
2019-08-15,66.045197,66.553001,65.635201,66.046501,66.046501,0
2019-08-16,66.053596,66.474197,65.846001,66.052399,66.052399,0
2019-08-19,66.356400,67.013000,66.248299,66.358200,66.358200,0
2019-08-20,66.935204,67.047997,66.541000,66.935204,66.935204,0
2019-08-21,66.429001,66.478996,65.715698,66.419403,66.419403,0
2019-08-22,65.750504,65.877800,65.434998,65.766296,65.766296,0
2019-08-23,65.528900,66.155998,65.477898,65.529503,65.529503,0
2019-08-26,66.253197,66.272003,65.827499,66.243698,66.243698,0
2019-08-27,66.092201,66.591003,66.009804,66.093201,66.093201,0
2019-08-28,66.414703,66.939003,66.319000,66.411301,66.411301,0
2019-08-29,66.745102,66.879700,66.483002,66.745102,66.745102,0
2019-08-30,66.490601,66.765999,66.285004,66.491501,66.491501,0
2019-09-02,66.743301,66.861702,66.533302,66.737999,66.737999,0
2019-09-03,66.744400,67.072998,66.733803,66.756798,66.756798,0
2019-09-04,66.747597,66.757202,66.078499,66.745697,66.745697,0
2019-09-05,66.199303,66.208900,65.883003,66.191200,66.191200,0
2019-09-06,66.171700,66.191299,65.574203,66.167099,66.167099,0
2019-09-09,65.757202,65.774803,65.323799,65.758499,65.758499,0
2019-09-10,65.513901,65.551697,65.299896,65.514702,65.514702,0
2019-09-11,65.349998,65.537003,65.261002,65.317299,65.317299,0
2019-09-12,65.415802,65.435997,64.744003,65.421600,65.421600,0
2019-09-13,64.737801,64.749298,64.120903,64.728600,64.728600,0
2019-09-16,63.899899,64.125000,63.649101,63.899601,63.899601,0
2019-09-17,63.965099,64.404999,63.927700,63.968300,63.968300,0
2019-09-18,64.272697,64.505798,64.112000,64.288101,64.288101,0
2019-09-19,64.213699,64.350502,63.790199,64.210899,64.210899,0
2019-09-20,63.973701,64.076797,63.682899,63.979198,63.979198,0
2019-09-23,63.952301,64.043098,63.752998,63.952499,63.952499,0
2019-09-24,63.754200,63.888401,63.603802,63.768902,63.768902,0
2019-09-25,63.982601,64.460999,63.841202,64.000099,64.000099,0
2019-09-26,64.156502,64.362999,64.077499,64.149803,64.149803,0
2019-09-27,64.222198,64.510597,64.210297,64.215103,64.215103,0
2019-09-30,64.620300,65.001999,64.505096,64.622101,64.622101,0
2019-10-01,64.811996,65.376999,64.736198,64.820503,64.820503,0
2019-10-02,65.229698,65.543999,65.018097,65.229698,65.229698,0
2019-10-03,65.218201,65.347000,65.002800,65.216499,65.216499,0
2019-10-04,65.074799,65.092003,64.528603,65.076401,65.076401,0
2019-10-07,64.664398,64.960999,64.589699,64.664398,64.664398,0
2019-10-08,64.947197,65.330002,64.747597,64.944099,64.944099,0
2019-10-09,65.155403,65.230301,64.786400,65.155403,65.155403,0
2019-10-10,65.031197,65.031197,64.377602,65.017303,65.017303,0
2019-10-11,64.392998,64.433899,63.989101,64.392700,64.392700,0
2019-10-14,64.206200,64.415001,64.019897,64.239601,64.239601,0
2019-10-15,64.252296,64.487999,64.172302,64.252403,64.252403,0
2019-10-16,64.275299,64.435997,64.097900,64.278198,64.278198,0
2019-10-17,64.086601,64.113297,63.828499,64.082703,64.082703,0
2019-10-18,64.025902,64.074997,63.889198,64.064903,64.064903,0
